Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,ReportedRis,TotalKg,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Hugo,Bidet,,FR,,,,competed,,,,,,,,,,,,,91.25,,,,
M,66,Bastien,Cauët,,FR,,,162.5,competed,,,,,,,,,67.5,,,,95,,,,
M,66,Charly,Defois,,FR,,,146.25,competed,,,,,,,,,55,,,,91.25,,,,
M,66,Efflam,Ka,,FR,,,,competed,,,,,,,,,65,,,,,,,,
M,66,Antoine,Le Guern,,FR,,,,competed,,,,,,,,,,,,,95.5,,,,
M,66,Timothée,Leroy,,FR,,,,competed,,,,,,,,,62.5,,,,,,,,
M,66,Jean Maxime,Liere,,FR,,,,competed,,,,,,,,,,,,,92,,,,
M,66,Mattéo,Tanguy,,FR,,,102.5,competed,,,,,,,,,50,,,,52.5,,,,
M,73,Romain,Avril,,FR,,,140,competed,,,,,,,,,55,,,,85,,,,
M,73,Loan,Bernard-Bodier,,FR,,,155,competed,,,,,,,,,62.5,,,,92.5,,,,
M,73,Thomas,Beuzit,,FR,,,113.5,competed,,,,,,,,,42,,,,71.5,,,,
M,73,Thomas,Blot,,FR,,,117.5,competed,,,,,,,,,45,,,,72.5,,,,
M,73,Ahmad,Chehade,,FR,,,122.5,competed,,,,,,,,,52.5,,,,70,,,,
M,73,Sufyaan,Kumallee,,FR,,,156.25,competed,,,,,,,,,70.25,,,,86,,,,
M,73,Benoît,Lagré,,FR,,,165,competed,,,,,,,,,65,,,,100,,,,
M,73,Valentin,Laignel,,FR,,,125,competed,,,,,,,,,50,,,,75,,,,
M,73,Lukian,Le Diodic,,FR,,,172.5,competed,,,,,,,,,67.5,,,,105,,,,
M,73,Camille,Leneguer,,FR,,,,competed,,,,,,,,,47.5,,,,,,,,
M,73,Mattéo,Trobrillant,,FR,,,102.5,competed,,,,,,,,,32.5,,,,70,,,,
M,73,Antoine,Tuytten,,FR,,,,competed,,,,,,,,,40,,,,,,,,
M,80,Pierre,Appriou,,FR,,,,competed,,,,,,,,,,,,,90,,,,
M,80,Louis,Baron,,FR,,,,competed,,,,,,,,,,,,,80,,,,
M,80,Henri,Gouandjia,,FR,,,210,competed,,,,,,,,,90,,,,120,,,,
M,80,Justin,Guillot,,FR,,,123.5,competed,,,,,,,,,56,,,,67.5,,,,
M,80,Loïc,Jacquemin,,FR,,,120,competed,,,,,,,,,50,,,,70,,,,
M,80,Joris,Ribeiro,,FR,,,,competed,,,,,,,,,,,,,100,,,,
M,80,Axel,Trihan,,FR,,,120,competed,,,,,,,,,45,,,,75,,,,
M,87,Emmanuel,Diba,,FR,,,,competed,,,,,,,,,70,,,,,,,,
F,57,Mathilde,Salle,,FR,,,50,competed,,,,,,,,,15,,,,35,,,,
F,57,Lise,Thiere,,FR,,,78,competed,,,,,,,,,28,,,,50,,,,
F,63,Charlène,Charmeton,,FR,,,45,competed,,,,,,,,,20,,,,25,,,,
F,63,Louanne,Wadoux,,FR,,,,competed,,,,,,,,,,,,,27.5,,,,
